time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-11-16T00:00:00.000Z","LatLng(35.61, 139.78)","155.24663","/","2020-11-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-30T00:00:00.000Z","LatLng(35.61, 139.78)","187.1816","/","2020-11-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-14T00:00:00.000Z","LatLng(35.61, 139.78)","213.59763","/","2020-12-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-28T00:00:00.000Z","LatLng(35.61, 139.78)","160.7807","/","2020-12-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-11T00:00:00.000Z","LatLng(35.61, 139.78)","334.0048","/","2021-01-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-25T00:00:00.000Z","LatLng(35.61, 139.78)","218.39792","/","2021-01-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-08T00:00:00.000Z","LatLng(35.61, 139.78)","161.29462","/","2021-02-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-22T00:00:00.000Z","LatLng(35.61, 139.78)","167.10599","/","2021-02-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-08T00:00:00.000Z","LatLng(35.61, 139.78)","170.10132","/","2021-03-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-22T00:00:00.000Z","LatLng(35.61, 139.78)","197.29385","/","2021-03-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-05T00:00:00.000Z","LatLng(35.61, 139.78)","114.64584","/","2021-04-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-19T00:00:00.000Z","LatLng(35.61, 139.78)","117.25847","/","2021-04-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-03T00:00:00.000Z","LatLng(35.61, 139.78)","NaN","/","2021-05-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-17T00:00:00.000Z","LatLng(35.61, 139.78)","NaN","/","2021-05-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-31T00:00:00.000Z","LatLng(35.61, 139.78)","NaN","/","2021-05-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
