time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-12-05T00:00:00.000Z","LatLng(34.55, 135.150001)","12.58","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-12T00:00:00.000Z","LatLng(34.55, 135.150001)","-4.42","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-19T00:00:00.000Z","LatLng(34.55, 135.150001)","34.79","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-02T00:00:00.000Z","LatLng(34.55, 135.150001)","83.28","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-09T00:00:00.000Z","LatLng(34.55, 135.150001)","-6.78","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-16T00:00:00.000Z","LatLng(34.55, 135.150001)","22.99","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-23T00:00:00.000Z","LatLng(34.55, 135.150001)","-26.47","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-30T00:00:00.000Z","LatLng(34.55, 135.150001)","83.71","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-06T00:00:00.000Z","LatLng(34.55, 135.150001)","27.16","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-13T00:00:00.000Z","LatLng(34.55, 135.150001)","93.23","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-20T00:00:00.000Z","LatLng(34.55, 135.150001)","9.07","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-27T00:00:00.000Z","LatLng(34.55, 135.150001)","69.13","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-06T00:00:00.000Z","LatLng(34.55, 135.150001)","27.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-13T00:00:00.000Z","LatLng(34.55, 135.150001)","-32.26","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-20T00:00:00.000Z","LatLng(34.55, 135.150001)","35.47","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-27T00:00:00.000Z","LatLng(34.55, 135.150001)","2.68","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-03T00:00:00.000Z","LatLng(34.55, 135.150001)","86.67","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-10T00:00:00.000Z","LatLng(34.55, 135.150001)","-17.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-17T00:00:00.000Z","LatLng(34.55, 135.150001)","-0.21","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-24T00:00:00.000Z","LatLng(34.55, 135.150001)","-36.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-01T00:00:00.000Z","LatLng(34.55, 135.150001)","53.03","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-08T00:00:00.000Z","LatLng(34.55, 135.150001)","-9.22","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-29T00:00:00.000Z","LatLng(34.55, 135.150001)","35.22","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
